time,Site Outdoor Air Drybulb Temperature(Environment),Site Outdoor Air Relative Humidity(Environment),Site Wind Speed(Environment),Site Direct Solar Radiation Rate per Area(Environment),Zone People Occupant Count(SPACE1-1),Zone Air Temperature(SPACE1-1),action
9.5,4.518008952162569,70.05937791257438,8.413355333712285,131.08500744105208,11.0,21.215802901401627,15.0
11.75,6.1583875781316815,48.82584959080574,4.128619149760193,840.3962112962395,0.0,19.864166580382395,22.0
15.75,0.7108894158881502,92.62459249966696,6.540551962430335,0.0311252746382867,11.0,21.36629878260353,15.0
8.25,12.752567399956645,66.06563595086901,5.431762415470821,0.3994099965642907,11.0,21.26768549347924,15.0
16.75,15.004331879690431,75.87434970565732,3.2516623382339525,0.0,0.0,23.35142640377763,15.0
14.75,5.9408615973030665,60.020672479857566,9.75763164341215,0.1686503680456612,11.0,23.346747710774668,15.0
10.75,1.0116358216679846,92.19881997752616,4.2906216224632585,0.0,11.0,21.373034669439928,15.0
17.0,17.566368109322706,50.24636795183877,2.758108034942862,1.5983759786355545,0.0,22.63312381292183,15.0
11.0,7.856201762079573,53.01917286514707,0.6320296459313952,742.3508232687949,11.0,24.936586914434752,22.0
11.5,-5.148138029541627,72.58320883268037,8.06607946278716,81.10204008595228,8.8,20.86492245399259,15.0
8.25,16.741482005925477,70.18024227649315,0.9982350282349316,334.2511385178875,11.0,23.73913529555669,22.0
9.0,25.072924526012635,66.11513348278427,7.307949439598709,0.2273673128986907,11.0,22.3102188858988,15.0
7.75,20.02846435155298,68.42053731229872,3.3458763600177104,541.3278834111167,0.0,21.40914248850059,22.0
9.0,15.307251395790608,75.03735330362969,5.876416244384474,0.3419530747995536,11.0,21.16548350625834,16.0
19.5,6.163837637564969,22.834817985742884,1.7420365451916942,0.0451955885254811,1.1,21.97107348631122,19.0
18.25,1.8451709301276036,52.007771613084415,4.436271114367707,0.0,0.0,22.790796244222893,15.0
7.75,-2.4115112947992063,65.5288183105659,0.7816778594166414,209.48997051290385,0.0,19.895613308916836,22.0
11.25,7.107809245007089,55.85290580774232,4.648768500536159,1.4492888766538627,8.8,21.97869912798625,15.0
8.5,10.132529639596036,56.154297491407625,4.993358737300063,0.0241665665795041,11.0,21.34594845615851,15.0
9.75,14.71120032681646,93.82166258995694,0.7988594589569374,20.085635528179647,0.0,22.616402472978702,16.0
20.0,6.981924769897595,66.0338017422815,3.702661468174825,0.0,1.1,20.782370571648936,21.0
9.25,3.9807679050153686,87.18039175301037,7.883555324966644,0.4567290122626395,11.0,20.95589092176371,16.0
18.25,-4.657287343966018,77.28145948780461,3.928616689582228,0.0,5.5,21.302093063205625,17.0
8.25,3.155164208943,91.51138264102252,7.238174769459532,0.2549439291901061,0.0,20.8644019788759,15.0
19.0,6.712036774231057,47.34861037912381,5.137625207295711,22.489530932980617,0.0,21.93964139789178,16.0
10.25,22.637490122993693,77.14783429449551,4.42269338369116,1.3927929050444057,11.0,23.084656782797698,15.0
9.25,20.549252934374284,54.33372947525287,4.639131715696798,0.1728761021785119,11.0,21.97014204324433,15.0
9.75,1.3031799258491976,85.85047482208205,5.178131365350645,59.54077228782394,11.0,21.376642352704675,15.0
10.75,8.496491388253503,26.51266730708713,2.6399721288331057,906.2104323947576,11.0,18.726787581028603,22.0
19.0,-2.041759452373832,60.28343698949652,1.883721238696282,0.0,5.5,23.42218181157084,20.0
11.0,-2.6680520853769485,32.14993673017292,3.5891351684788715,831.8688543229777,11.0,23.377862711391693,15.0
8.0,8.176495920933828,93.52908733493736,6.274384659732839,0.0,0.0,20.837516100228516,22.0
