,time,Site Outdoor Air Drybulb Temperature(Environment),Site Outdoor Air Relative Humidity(Environment),Site Wind Speed(Environment),Site Direct Solar Radiation Rate per Area(Environment),Zone People Occupant Count(SPACE1-1),Zone Air Temperature(SPACE1-1),action,overhead
0,11.25,3.045201752081959,72.93433203977288,8.14173341858646,0.18741631893030375,0.0,20.744947150933076,20.0,0.61308
1,11.25,3.045201752081959,72.93433203977288,8.14173341858646,0.18741631893030375,0.0,20.744947150933076,17.0,0.565141
2,11.25,3.045201752081959,72.93433203977288,8.14173341858646,0.18741631893030375,0.0,20.744947150933076,20.0,0.573046
3,11.25,3.045201752081959,72.93433203977288,8.14173341858646,0.18741631893030375,0.0,20.744947150933076,17.0,0.557024
4,11.25,3.045201752081959,72.93433203977288,8.14173341858646,0.18741631893030375,0.0,20.744947150933076,16.0,0.591554
5,11.25,3.045201752081959,72.93433203977288,8.14173341858646,0.18741631893030375,0.0,20.744947150933076,15.0,0.598679
6,11.25,3.045201752081959,72.93433203977288,8.14173341858646,0.18741631893030375,0.0,20.744947150933076,17.0,0.631413
7,11.25,3.045201752081959,72.93433203977288,8.14173341858646,0.18741631893030375,0.0,20.744947150933076,17.0,0.576998
8,11.25,3.045201752081959,72.93433203977288,8.14173341858646,0.18741631893030375,0.0,20.744947150933076,16.0,0.569587
9,11.25,3.045201752081959,72.93433203977288,8.14173341858646,0.18741631893030375,0.0,20.744947150933076,15.0,0.568163
10,11.25,3.045201752081959,72.93433203977288,8.14173341858646,0.18741631893030375,0.0,20.744947150933076,15.0,0.560386
11,11.25,3.045201752081959,72.93433203977288,8.14173341858646,0.18741631893030375,0.0,20.744947150933076,16.0,0.566027
12,11.25,3.045201752081959,72.93433203977288,8.14173341858646,0.18741631893030375,0.0,20.744947150933076,15.0,0.562921
13,11.25,3.045201752081959,72.93433203977288,8.14173341858646,0.18741631893030375,0.0,20.744947150933076,16.0,0.569994
14,11.25,3.045201752081959,72.93433203977288,8.14173341858646,0.18741631893030375,0.0,20.744947150933076,15.0,0.590751
15,11.25,3.045201752081959,72.93433203977288,8.14173341858646,0.18741631893030375,0.0,20.744947150933076,17.0,0.563321
16,11.25,3.045201752081959,72.93433203977288,8.14173341858646,0.18741631893030375,0.0,20.744947150933076,16.0,0.565841
