,obs,action,step
279,17,19.0,10
280,17,18.0,10
281,17,15.0,10
282,17,20.0,10
283,17,18.0,10
284,17,15.0,10
285,17,16.0,10
286,17,15.0,10
287,17,18.0,10
288,17,15.0,10
289,17,15.0,10
290,17,15.0,10
291,17,17.0,10
292,17,16.0,10
293,17,15.0,10
294,17,17.0,10
295,17,18.0,10
296,17,16.0,10
297,17,21.0,10
298,17,16.0,10
299,17,22.0,10
300,17,15.0,11
301,17,17.0,11
302,17,18.0,11
303,17,16.0,11
304,17,15.0,11
305,17,15.0,11
306,17,19.0,11
307,17,16.0,11
308,17,19.0,11
309,17,16.0,11
310,17,15.0,11
311,17,16.0,11
312,17,16.0,11
313,17,15.0,11
314,17,21.0,11
315,17,17.0,11
316,17,19.0,11
317,17,17.0,11
318,17,15.0,11
319,17,15.0,11
320,17,18.0,11
321,17,18.0,11
322,17,17.0,11
323,17,17.0,11
324,17,16.0,11
325,17,15.0,11
326,17,19.0,11
327,17,15.0,11
328,17,20.0,11
329,17,17.0,11
330,17,16.0,12
331,17,17.0,12
332,17,15.0,12
333,17,19.0,12
334,17,15.0,12
335,17,15.0,12
336,17,15.0,12
337,17,15.0,12
338,17,15.0,12
339,17,16.0,12
340,17,17.0,12
341,17,16.0,12
342,17,15.0,12
343,17,15.0,12
344,17,15.0,12
345,17,15.0,12
346,17,15.0,12
347,17,18.0,12
348,17,16.0,12
349,17,16.0,12
350,17,16.0,12
351,17,15.0,12
352,17,16.0,12
353,17,16.0,12
354,17,15.0,12
355,17,20.0,12
356,17,15.0,12
357,17,15.0,12
358,17,19.0,12
359,17,21.0,12
360,17,21.0,13
361,17,15.0,13
362,17,16.0,13
363,17,16.0,13
364,17,16.0,13
365,17,15.0,13
366,17,16.0,13
367,17,20.0,13
368,17,15.0,13
369,17,16.0,13
370,17,15.0,13
371,17,15.0,13
372,17,16.0,13
373,17,17.0,13
374,17,16.0,13
375,17,15.0,13
376,17,18.0,13
377,17,20.0,13
378,17,19.0,13
379,17,16.0,13
380,17,19.0,13
381,17,19.0,13
382,17,18.0,13
383,17,16.0,13
384,17,17.0,13
385,17,15.0,13
386,17,15.0,13
387,17,19.0,13
388,17,16.0,13
389,17,16.0,13
390,17,15.0,14
391,17,17.0,14
392,17,16.0,14
393,17,17.0,14
394,17,16.0,14
395,17,16.0,14
396,17,15.0,14
397,17,16.0,14
398,17,15.0,14
399,17,16.0,14
400,17,17.0,14
401,17,15.0,14
402,17,16.0,14
403,17,17.0,14
404,17,15.0,14
405,17,18.0,14
406,17,19.0,14
407,17,22.0,14
408,17,15.0,14
409,17,19.0,14
410,17,18.0,14
411,17,15.0,14
412,17,15.0,14
413,17,17.0,14
414,17,16.0,14
415,17,17.0,14
416,17,15.0,14
417,17,16.0,14
418,17,16.0,14
419,17,17.0,14
420,17,15.0,15
421,17,21.0,15
422,17,15.0,15
423,17,15.0,15
424,17,17.0,15
425,17,19.0,15
426,17,16.0,15
427,17,16.0,15
428,17,17.0,15
429,17,17.0,15
430,17,16.0,15
431,17,16.0,15
432,17,15.0,15
433,17,15.0,15
434,17,16.0,15
435,17,17.0,15
436,17,17.0,15
437,17,15.0,15
438,17,16.0,15
439,17,19.0,15
440,17,15.0,15
441,17,22.0,15
442,17,15.0,15
443,17,20.0,15
444,17,21.0,15
445,17,18.0,15
446,17,18.0,15
447,17,15.0,15
448,17,16.0,15
449,17,17.0,15
450,17,18.0,16
451,17,21.0,16
452,17,17.0,16
453,17,18.0,16
454,17,15.0,16
455,17,22.0,16
456,17,15.0,16
457,17,17.0,16
458,17,16.0,16
459,17,18.0,16
460,17,20.0,16
461,17,16.0,16
462,17,21.0,16
463,17,21.0,16
464,17,20.0,16
465,17,15.0,16
466,17,15.0,16
467,17,17.0,16
468,17,15.0,16
469,17,16.0,16
470,17,19.0,16
471,17,19.0,16
472,17,20.0,16
473,17,19.0,16
474,17,16.0,16
475,17,17.0,16
476,17,16.0,16
477,17,16.0,16
478,17,16.0,16
479,17,16.0,16
480,17,15.0,17
481,17,15.0,17
482,17,15.0,17
483,17,18.0,17
484,17,17.0,17
485,17,17.0,17
486,17,17.0,17
487,17,15.0,17
488,17,16.0,17
489,17,19.0,17
490,17,21.0,17
491,17,17.0,17
492,17,15.0,17
493,17,15.0,17
494,17,19.0,17
495,17,15.0,17
496,17,16.0,17
497,17,15.0,17
498,17,15.0,17
499,17,16.0,17
500,17,17.0,17
501,17,16.0,17
502,17,20.0,17
503,17,15.0,17
504,17,18.0,17
505,17,19.0,17
506,17,18.0,17
507,17,15.0,17
508,17,19.0,17
509,17,17.0,17
510,17,16.0,18
511,17,16.0,18
512,17,16.0,18
513,17,19.0,18
514,17,15.0,18
515,17,15.0,18
516,17,15.0,18
517,17,22.0,18
518,17,15.0,18
519,17,15.0,18
520,17,15.0,18
521,17,15.0,18
522,17,15.0,18
523,17,16.0,18
524,17,21.0,18
525,17,20.0,18
526,17,15.0,18
527,17,17.0,18
528,17,16.0,18
529,17,20.0,18
530,17,17.0,18
531,17,18.0,18
532,17,18.0,18
533,17,15.0,18
534,17,15.0,18
535,17,19.0,18
536,17,15.0,18
537,17,16.0,18
538,17,15.0,18
539,17,15.0,18
540,17,17.0,19
541,17,15.0,19
542,17,16.0,19
543,17,16.0,19
544,17,16.0,19
545,17,16.0,19
546,17,16.0,19
547,17,19.0,19
548,17,15.0,19
549,17,18.0,19
550,17,15.0,19
551,17,17.0,19
552,17,18.0,19
553,17,16.0,19
554,17,18.0,19
555,17,19.0,19
556,17,20.0,19
557,17,15.0,19
558,17,16.0,19
559,17,16.0,19
560,17,17.0,19
561,17,18.0,19
562,17,17.0,19
563,17,15.0,19
564,17,18.0,19
565,17,15.0,19
566,17,16.0,19
567,17,16.0,19
568,17,15.0,19
569,17,17.0,19
570,17,15.0,20
571,17,18.0,20
572,17,19.0,20
573,17,19.0,20
574,17,16.0,20
575,17,15.0,20
576,17,16.0,20
577,17,15.0,20
578,17,15.0,20
579,17,15.0,20
580,17,15.0,20
581,17,18.0,20
582,17,18.0,20
583,17,19.0,20
584,17,18.0,20
585,17,17.0,20
586,17,17.0,20
587,17,16.0,20
588,17,15.0,20
589,17,17.0,20
590,17,16.0,20
591,17,15.0,20
592,17,17.0,20
593,17,15.0,20
594,17,15.0,20
595,17,19.0,20
596,17,22.0,20
597,17,16.0,20
598,17,16.0,20
599,17,17.0,20
600,17,18.0,21
601,17,16.0,21
602,17,17.0,21
603,17,17.0,21
604,17,15.0,21
605,17,15.0,21
606,17,16.0,21
607,17,16.0,21
608,17,16.0,21
609,17,20.0,21
610,17,18.0,21
611,17,15.0,21
612,17,17.0,21
613,17,15.0,21
614,17,15.0,21
615,17,15.0,21
616,17,20.0,21
617,17,20.0,21
618,17,17.0,21
619,17,15.0,21
620,17,15.0,21
621,17,18.0,21
622,17,15.0,21
623,17,19.0,21
624,17,16.0,21
625,17,16.0,21
626,17,17.0,21
627,17,16.0,21
628,17,15.0,21
629,17,16.0,21
630,17,17.0,22
631,17,15.0,22
632,17,15.0,22
633,17,15.0,22
634,17,16.0,22
635,17,15.0,22
636,17,15.0,22
637,17,17.0,22
638,17,15.0,22
639,17,16.0,22
640,17,15.0,22
641,17,21.0,22
642,17,16.0,22
643,17,15.0,22
644,17,21.0,22
645,17,19.0,22
646,17,19.0,22
647,17,17.0,22
648,17,16.0,22
649,17,16.0,22
650,17,15.0,22
651,17,16.0,22
652,17,15.0,22
653,17,16.0,22
654,17,16.0,22
655,17,18.0,22
656,17,15.0,22
657,17,17.0,22
658,17,17.0,22
659,17,17.0,22
660,17,15.0,23
661,17,15.0,23
662,17,17.0,23
663,17,18.0,23
664,17,16.0,23
665,17,15.0,23
666,17,16.0,23
667,17,15.0,23
668,17,16.0,23
669,17,15.0,23
670,17,16.0,23
671,17,17.0,23
672,17,17.0,23
673,17,17.0,23
674,17,18.0,23
675,17,15.0,23
676,17,16.0,23
677,17,15.0,23
678,17,19.0,23
679,17,16.0,23
680,17,15.0,23
681,17,16.0,23
682,17,16.0,23
683,17,20.0,23
684,17,17.0,23
685,17,15.0,23
686,17,17.0,23
687,17,15.0,23
688,17,21.0,23
689,17,15.0,23
690,17,17.0,24
691,17,17.0,24
692,17,17.0,24
693,17,15.0,24
694,17,21.0,24
695,17,18.0,24
696,17,15.0,24
697,17,15.0,24
698,17,15.0,24
699,17,16.0,24
700,17,16.0,24
701,17,15.0,24
702,17,15.0,24
703,17,15.0,24
704,17,15.0,24
705,17,16.0,24
706,17,16.0,24
707,17,15.0,24
708,17,15.0,24
709,17,16.0,24
710,17,15.0,24
711,17,15.0,24
712,17,15.0,24
713,17,15.0,24
714,17,16.0,24
715,17,16.0,24
716,17,15.0,24
717,17,16.0,24
718,17,17.0,24
719,17,16.0,24
720,17,17.0,25
721,17,16.0,25
722,17,15.0,25
723,17,18.0,25
724,17,16.0,25
725,17,18.0,25
726,17,16.0,25
727,17,15.0,25
728,17,15.0,25
729,17,15.0,25
730,17,18.0,25
731,17,20.0,25
732,17,16.0,25
733,17,16.0,25
734,17,16.0,25
735,17,15.0,25
736,17,17.0,25
737,17,15.0,25
738,17,15.0,25
739,17,15.0,25
740,17,19.0,25
741,17,15.0,25
742,17,16.0,25
743,17,15.0,25
744,17,16.0,25
745,17,17.0,25
746,17,20.0,25
747,17,16.0,25
748,17,17.0,25
749,17,18.0,25
750,17,15.0,26
751,17,16.0,26
752,17,17.0,26
753,17,17.0,26
754,17,15.0,26
755,17,15.0,26
756,17,19.0,26
757,17,16.0,26
758,17,16.0,26
759,17,16.0,26
760,17,16.0,26
761,17,15.0,26
762,17,17.0,26
763,17,16.0,26
764,17,16.0,26
765,17,15.0,26
766,17,15.0,26
767,17,15.0,26
768,17,17.0,26
769,17,17.0,26
770,17,15.0,26
771,17,15.0,26
772,17,15.0,26
773,17,15.0,26
774,17,21.0,26
775,17,18.0,26
776,17,17.0,26
777,17,16.0,26
778,17,16.0,26
779,17,15.0,26
780,17,17.0,27
781,17,15.0,27
782,17,15.0,27
783,17,15.0,27
784,17,15.0,27
785,17,17.0,27
786,17,15.0,27
787,17,19.0,27
788,17,15.0,27
789,17,15.0,27
790,17,15.0,27
791,17,15.0,27
792,17,16.0,27
793,17,16.0,27
794,17,15.0,27
795,17,16.0,27
796,17,16.0,27
797,17,15.0,27
798,17,15.0,27
799,17,17.0,27
800,17,16.0,27
801,17,16.0,27
802,17,17.0,27
803,17,18.0,27
804,17,16.0,27
805,17,15.0,27
806,17,15.0,27
807,17,17.0,27
808,17,16.0,27
809,17,16.0,27
810,17,15.0,28
811,17,15.0,28
812,17,15.0,28
813,17,18.0,28
814,17,16.0,28
815,17,15.0,28
816,17,16.0,28
817,17,16.0,28
818,17,16.0,28
819,17,17.0,28
820,17,16.0,28
821,17,15.0,28
822,17,15.0,28
823,17,16.0,28
824,17,16.0,28
825,17,15.0,28
826,17,16.0,28
827,17,16.0,28
828,17,16.0,28
829,17,17.0,28
830,17,15.0,28
831,17,15.0,28
832,17,16.0,28
833,17,15.0,28
834,17,15.0,28
835,17,15.0,28
836,17,15.0,28
837,17,16.0,28
838,17,15.0,28
839,17,15.0,28
840,17,17.0,29
841,17,16.0,29
842,17,16.0,29
843,17,15.0,29
844,17,15.0,29
845,17,17.0,29
846,17,16.0,29
847,17,15.0,29
848,17,15.0,29
849,17,15.0,29
850,17,15.0,29
851,17,15.0,29
852,17,16.0,29
853,17,16.0,29
854,17,17.0,29
855,17,15.0,29
856,17,15.0,29
857,17,15.0,29
858,17,16.0,29
859,17,15.0,29
860,17,16.0,29
861,17,15.0,29
862,17,16.0,29
863,17,15.0,29
864,17,15.0,29
865,17,15.0,29
866,17,17.0,29
867,17,16.0,29
868,17,16.0,29
869,17,15.0,29
870,17,15.0,30
871,17,15.0,30
872,17,16.0,30
873,17,15.0,30
874,17,15.0,30
875,17,15.0,30
876,17,15.0,30
877,17,16.0,30
878,17,15.0,30
879,17,15.0,30
880,17,16.0,30
881,17,15.0,30
882,17,15.0,30
883,17,16.0,30
884,17,15.0,30
885,17,15.0,30
886,17,16.0,30
887,17,15.0,30
888,17,15.0,30
889,17,16.0,30
890,17,17.0,30
891,17,16.0,30
892,17,16.0,30
893,17,15.0,30
894,17,15.0,30
895,17,15.0,30
896,17,15.0,30
897,17,15.0,30
898,17,15.0,30
899,17,16.0,30
900,17,15.0,31
901,17,15.0,31
902,17,15.0,31
903,17,15.0,31
904,17,15.0,31
905,17,16.0,31
906,17,15.0,31
907,17,16.0,31
908,17,15.0,31
909,17,16.0,31
910,17,15.0,31
911,17,15.0,31
912,17,16.0,31
913,17,15.0,31
914,17,16.0,31
915,17,16.0,31
916,17,15.0,31
917,17,15.0,31
918,17,15.0,31
919,17,15.0,31
920,17,15.0,31
921,17,15.0,31
922,17,15.0,31
923,17,15.0,31
924,17,15.0,31
925,17,15.0,31
926,17,16.0,31
927,17,15.0,31
928,17,15.0,31
929,17,15.0,31
930,17,15.0,32
931,17,15.0,32
932,17,15.0,32
933,17,15.0,32
934,17,15.0,32
935,17,15.0,32
936,17,15.0,32
937,17,15.0,32
938,17,15.0,32
939,17,16.0,32
940,17,15.0,32
941,17,15.0,32
942,17,15.0,32
943,17,15.0,32
944,17,15.0,32
945,17,15.0,32
946,17,15.0,32
947,17,15.0,32
948,17,15.0,32
949,17,15.0,32
950,17,15.0,32
951,17,15.0,32
952,17,15.0,32
953,17,15.0,32
954,17,16.0,32
955,17,15.0,32
956,17,15.0,32
957,17,16.0,32
958,17,15.0,32
959,17,15.0,32
960,17,22.0,33
961,17,20.0,33
962,17,22.0,33
963,17,19.0,33
964,17,21.0,33
965,17,22.0,33
966,17,22.0,33
967,17,22.0,33
968,17,22.0,33
969,17,21.0,33
970,17,21.0,33
971,17,22.0,33
972,17,20.0,33
973,17,21.0,33
974,17,19.0,33
975,17,18.0,33
976,17,22.0,33
977,17,21.0,33
978,17,22.0,33
979,17,20.0,33
980,17,21.0,33
981,17,22.0,33
982,17,20.0,33
983,17,22.0,33
984,17,18.0,33
985,17,22.0,33
986,17,20.0,33
987,17,22.0,33
988,17,21.0,33
989,17,22.0,33
990,17,22.0,34
991,17,22.0,34
992,17,22.0,34
993,17,22.0,34
994,17,16.0,34
995,17,21.0,34
996,17,19.0,34
997,17,22.0,34
998,17,22.0,34
999,17,22.0,34
1000,17,21.0,34
1001,17,22.0,34
1002,17,20.0,34
1003,17,19.0,34
1004,17,22.0,34
1005,17,18.0,34
1006,17,21.0,34
1007,17,19.0,34
1008,17,20.0,34
1009,17,22.0,34
1010,17,22.0,34
1011,17,18.0,34
1012,17,16.0,34
1013,17,20.0,34
1014,17,21.0,34
1015,17,20.0,34
1016,17,19.0,34
1017,17,22.0,34
1018,17,20.0,34
1019,17,20.0,34
1020,17,21.0,35
1021,17,20.0,35
1022,17,20.0,35
1023,17,22.0,35
1024,17,20.0,35
1025,17,19.0,35
1026,17,19.0,35
1027,17,21.0,35
1028,17,20.0,35
1029,17,21.0,35
1030,17,22.0,35
1031,17,21.0,35
1032,17,21.0,35
1033,17,22.0,35
1034,17,22.0,35
1035,17,20.0,35
1036,17,22.0,35
1037,17,18.0,35
1038,17,22.0,35
1039,17,19.0,35
1040,17,22.0,35
1041,17,17.0,35
1042,17,22.0,35
1043,17,21.0,35
1044,17,22.0,35
1045,17,21.0,35
1046,17,22.0,35
1047,17,22.0,35
1048,17,21.0,35
1049,17,21.0,35
1050,17,21.0,36
1051,17,22.0,36
1052,17,22.0,36
1053,17,21.0,36
1054,17,20.0,36
1055,17,22.0,36
1056,17,22.0,36
1057,17,22.0,36
1058,17,20.0,36
1059,17,22.0,36
1060,17,19.0,36
1061,17,20.0,36
1062,17,20.0,36
1063,17,22.0,36
1064,17,19.0,36
1065,17,22.0,36
1066,17,22.0,36
1067,17,22.0,36
1068,17,22.0,36
1069,17,22.0,36
1070,17,21.0,36
1071,17,20.0,36
1072,17,22.0,36
1073,17,21.0,36
1074,17,22.0,36
1075,17,22.0,36
1076,17,22.0,36
1077,17,22.0,36
1078,17,21.0,36
1079,17,21.0,36
1080,17,22.0,37
1081,17,22.0,37
1082,17,19.0,37
1083,17,22.0,37
1084,17,22.0,37
1085,17,22.0,37
1086,17,22.0,37
1087,17,20.0,37
1088,17,18.0,37
1089,17,22.0,37
1090,17,22.0,37
1091,17,22.0,37
1092,17,21.0,37
1093,17,21.0,37
1094,17,20.0,37
1095,17,20.0,37
1096,17,20.0,37
1097,17,20.0,37
1098,17,15.0,37
1099,17,21.0,37
1100,17,19.0,37
1101,17,21.0,37
1102,17,21.0,37
1103,17,20.0,37
1104,17,20.0,37
1105,17,18.0,37
1106,17,22.0,37
1107,17,20.0,37
1108,17,22.0,37
1109,17,21.0,37
1110,17,20.0,38
1111,17,18.0,38
1112,17,22.0,38
1113,17,20.0,38
1114,17,18.0,38
1115,17,21.0,38
1116,17,20.0,38
1117,17,20.0,38
1118,17,22.0,38
1119,17,21.0,38
1120,17,19.0,38
1121,17,20.0,38
1122,17,21.0,38
1123,17,22.0,38
1124,17,21.0,38
1125,17,19.0,38
1126,17,22.0,38
1127,17,22.0,38
1128,17,21.0,38
1129,17,16.0,38
1130,17,22.0,38
1131,17,22.0,38
1132,17,22.0,38
1133,17,22.0,38
1134,17,19.0,38
1135,17,20.0,38
1136,17,19.0,38
1137,17,21.0,38
1138,17,19.0,38
1139,17,20.0,38
1140,17,22.0,39
1141,17,22.0,39
1142,17,22.0,39
1143,17,16.0,39
1144,17,20.0,39
1145,17,21.0,39
1146,17,21.0,39
1147,17,21.0,39
1148,17,22.0,39
1149,17,22.0,39
1150,17,17.0,39
1151,17,20.0,39
1152,17,22.0,39
1153,17,22.0,39
1154,17,22.0,39
1155,17,22.0,39
1156,17,21.0,39
1157,17,19.0,39
1158,17,21.0,39
1159,17,22.0,39
1160,17,19.0,39
1161,17,22.0,39
1162,17,21.0,39
1163,17,21.0,39
1164,17,19.0,39
1165,17,20.0,39
1166,17,21.0,39
1167,17,20.0,39
1168,17,19.0,39
1169,17,21.0,39
1170,17,20.0,40
1171,17,17.0,40
1172,17,22.0,40
1173,17,22.0,40
1174,17,21.0,40
1175,17,22.0,40
1176,17,20.0,40
1177,17,22.0,40
1178,17,22.0,40
1179,17,22.0,40
1180,17,20.0,40
1181,17,22.0,40
1182,17,21.0,40
1183,17,16.0,40
1184,17,21.0,40
1185,17,21.0,40
1186,17,21.0,40
1187,17,18.0,40
1188,17,22.0,40
1189,17,22.0,40
